PROVINCIA,MUNICIPIO,LONGITUD,LATITUD
ORIENTE,ALMEIDA,-73.3789331,4.9708565
SUGAMUXI,AQUITANIA,-72.88398481,5.518603543
RICAURTE,ARCABUCO,-73.43818476,5.755184269
TUNDAMA,BELÉN,-72.91161957,5.989277861
LENGUPÁ,BERBEO,-73.12703215,5.22728723
VALDERRAMA,BETEITIVA,-72.8090312,5.909907818
NORTE,BOAVITA,-72.5849594,6.330652563
MÁRQUEZ,BOYACÁ,-73.36230272,5.454237164
OCCIDENTE,BRICEÑO,-73.9232597,5.690878897
OCCIDENTE,BUENAVISTA,-73.94230522,5.512431151
TUNDAMA,BUSBANZÁ,-72.88416175,5.831389532
OCCIDENTE,CALDAS,-73.865541,5.554575079
LENGUPÁ,CAMPOHERMOSO,-73.10416792,5.031660681
TUNDAMA,CERINZA,-72.94827585,5.956028189
NEIRA,CHINAVITA,-73.36847648,5.167483821
OCCIDENTE,CHIQUINQUIRÁ,-73.81838763,5.61412789
CENTRO,CHÍQUIZA,-72.50183507,6.554050428
GUTIERREZ,CHISCAS,-72.47189235,6.187082996
VALDERRAMA,CHITA,-73.4471004,6.027425133
RICAURTE,CHITARAQUE,-73.28252944,5.558948845
CENTRO,CHIVATÁ,-73.29606129,5.408702192
ORIENTE,CHIVOR,-73.32395641,5.634545314
MÁRQUEZ,CIÉNEGA,-74.04546072,5.474983018
CENTRO,CÓMBITA,-72.84479484,5.828102208
OCCIDENTE,COPER,-72.73897793,6.50017746
TUNDAMA,CORRALES,-72.11068776,7.000092875
NORTE,COVARACHIA,-73.45433765,5.544451559
GUTIERREZ,CUBARÁ,-72.96592323,5.58036723
CENTRO,CUCAITA,-73.44946261,5.639834305
SUGAMUXI,CUITIVA,-73.36689376,4.887781661
TUNDAMA,DUITAMA,-73.03060967,5.82298568
GUTIERREZ,EL COCUY,-72.44472932,6.407716232
GUTIERREZ,EL ESPINO,-72.49700735,6.483027406
SUGAMUXI,FIRAVITOBA,-72.99336145,5.66892216
TUNDAMA,FLORESTA,-72.91811131,5.859519124
RICAURTE,GACHANTIVÁ,-73.54909239,5.751891082
SUGAMUXI,GÁMEZA,-72.80552935,5.802337805
NEIRA,GARAGOA,-73.36442756,5.083243463
GUTIERREZ,GUACAMAYAS,-72.500812,6.459666516
ORIENTE,GUATEQUE,-73.47120697,5.007320895
ORIENTE,GUAYATÁ,-73.4896964,4.967122531
GUTIERREZ,GÜICÁN,-72.41176261,6.462863755
SUGAMUXI,IZA,-72.98017623,5.61169614
MÁRQUEZ,JENESANO,-73.36373756,5.385812845
VALDERRAMA,JERICÓ,-72.57072349,6.145920383
ORIENTE,LA CAPILLA,-72.57777012,5.562687048
NORTE,LA UVITA,-73.4443474,5.095686992
OCCIDENTE,LA VICTORIA,-74.23439322,5.52379224
LA LIBERTAD,LABRANZAGRANDE,-72.5599847,6.316206406
NEIRA,MACANAL,-73.5246846,5.632661849
OCCIDENTE,MARIPÍ,-73.31964224,4.972466063
LENGUPÁ,MIRAFLORES,-74.00404995,5.55009071
SUGAMUXI,MONGUA,-73.14563048,5.196515115
SUGAMUXI,MONGUÍ,-72.79809049,5.754242228
RICAURTE,MONIQUIRÁ,-72.84926001,5.723404072
CENTRO,MOTAVITA,-73.57337039,5.876334811
OCCIDENTE,MUZO,-73.36784105,5.5776996
SUGAMUXI,NOBSA,-74.10275078,5.532462867
MÁRQUEZ,NUEVO COLÓN,-72.93985317,5.771042624
CENTRO,OICATÁ,-73.45713618,5.355145864
OCCIDENTE,OTANCHE,-73.30840398,5.595234239
NEIRA,PACHAVITA,-74.18096474,5.657535713
LENGUPÁ,PÁEZ,-73.39695306,5.140064731
TUNDAMA,PAIPA,-73.05431038,5.095234631
LA LIBERTAD,PAJARITO,-73.11791688,5.77994187
GUTIERREZ,PANQUEBA,-72.70320992,5.293665206
OCCIDENTE,PAUNA,-72.45920027,6.443075415
LA LIBERTAD,PAYA,-73.97844872,5.656322691
VALDERRAMA,PAZ DE RIO,-72.42377541,5.625698707
SUGAMUXI,PESCA,-72.74913738,5.987644906
LA LIBERTAD,PISBA,-73.05087224,5.558807609
OCCIDENTE,PUERTO BOYACÁ,-72.48594682,5.721615112
OCCIDENTE,QUÍPAMA,-74.58799919,5.977934952
MÁRQUEZ,RAMIRIQUÍ,-74.17772939,5.518370385
RICAURTE,RÁQUIRA,-73.33486896,5.400221644
MÁRQUEZ,RONDÓN,-73.63249716,5.539065827
OCCIDENTE,SABOYÁ,-73.20847397,5.357400116
RICAURTE,SÁCHICA,-73.76466062,5.697733432
CENTRO,SAMACÁ,-73.54263447,5.583592497
LENGUPÁ,SAN EDUARDO,-73.48564359,5.492314591
RICAURTE,SAN JOSÉ DE PARE,-73.077143,5.22395594
NEIRA,SAN LUIS DE GACENO,-73.54537245,6.018975771
NORTE,SAN MATEO,-73.16835942,4.819690447
OCCIDENTE,SAN MIGUEL DE SEMA,-72.55526421,6.401683318
OCCIDENTE,SAN PABLO DE BORBUR,-73.72200484,5.518086388
NEIRA,SANTA MARÍA,-74.06996448,5.650676396
TUNDAMA,SANTA ROSA DE VITERBO,-73.48122632,6.057413107
RICAURTE,SANTA SOFÍA,-73.26351766,4.857192995
RICAURTE,SANTANA,-72.98246092,5.874555597
NORTE,SATIVANORTE,-73.60270717,5.713269421
NORTE,SATIVASUR,-72.70845816,6.131136111
CENTRO,SIACHOQUE,-72.71243808,6.093182343
NORTE,SOATÁ,-73.24464901,5.511815055
VALDERRAMA,SOCHA,-72.68402498,6.331911937
VALDERRAMA,SOCOTÁ,-72.63665338,6.041161833
SUGAMUXI,SOGAMOSO,-72.69196586,5.996713021
ORIENTE,SOMONDOCO,-72.92304769,5.72568939
CENTRO,SORA,-73.43339298,4.985725507
CENTRO,SORACÁ,-73.45015278,5.566839797
CENTRO,SOTAQUIRÁ,-73.24733448,5.765230774
NORTE,SUSACÓN,-73.33280563,5.500904831
RICAURTE,SUTAMARCHÁN,-72.69028925,6.230332074
ORIENTE,SUTATENZA,-73.6205861,5.619781419
VALDERRAMA,TASCO,-73.45231714,5.022988994
ORIENTE,TENZA,-72.78101116,5.909821031
MÁRQUEZ,TIBANÁ,-73.42058911,5.077074351
SUGAMUXI,TIBASOSA,-73.39645722,5.317250924
RICAURTE,TINJACÁ,-72.99944921,5.747229977
NORTE,TIPACOQUE,-73.64684734,5.57971331
CENTRO,TOCA,-72.69317268,6.418585803
RICAURTE,TOGÜÍ,-73.18479034,5.56646915
SUGAMUXI,TÓPAGA,-73.51365506,5.937438225
SUGAMUXI,TOTA,-72.83224493,5.768201449
CENTRO,TUNJA,-72.98589814,5.560497374
OCCIDENTE,TUNUNGUÁ,-73.35548873,5.539953238
MÁRQUEZ,TURMEQUÉ,-73.9331548,5.730582208
CENTRO,TUTA,-73.49184702,5.323252768
TUNDAMA,TUTAZÁ,-73.22597294,5.690968244
MÁRQUEZ,ÚMBITA,-72.85603548,6.032607903
CENTRO,VENTAQUEMADA,-73.45691657,5.221176201
RICAURTE,VILLA DE LEYVA,-73.52237325,5.368733979
MÁRQUEZ,VIRACACHÁ,-73.29689965,5.436788535
LENGUPÁ,ZETAQUIRA,-73.16905201,5.282116052
